month,exchange
07.1992,142.00
08.1992,168.00
09.1992,220.00
10.1992,354.00
11.1992,426.00
12.1992,415.00
01.1993,484.00
02.1993,569.00
03.1993,665.00
04.1993,767.00
05.1993,915.00
06.1993,1080.00
07.1993,1026.00
08.1993,986.00
09.1993,1059.00
10.1993,1186.00
11.1993,1191.00
12.1993,1239.00
01.1994,1436.00
02.1994,1579.00
03.1994,1717.00
04.1994,1790.00
05.1994,1877.00
06.1994,1952.00
07.1994,2023.00
08.1994,2118.00
09.1994,2346.00
10.1994,3065.00
11.1994,3144.00
12.1994,3388.00
01.1995,3836.00
02.1995,4215.00
03.1995,4721.00
04.1995,5024.00
05.1995,5054.00
06.1995,4725.00
07.1995,4523.00
08.1995,4415.00
09.1995,4472.00
10.1995,4501.00
11.1995,4539.00
12.1995,4620.00
01.1996,4689.00
02.1996,4761.00
03.1996,4835.00
04.1996,4902.00
05.1996,4988.00
06.1996,5056.00
07.1996,5148.00
08.1996,5283.00
09.1996,5372.00
10.1996,5431.00
11.1996,5483.00
12.1996,5537.00
01.1997,5601.00
02.1997,5654.00
03.1997,5704.00
04.1997,5747.00
05.1997,5770.00
06.1997,5780.00
07.1997,5787.00
08.1997,5812.00
09.1997,5847.00
10.1997,5875.00
11.1997,5903.00
12.1997,5941.00
01.1998,6.00
02.1998,6.05
03.1998,6.09
04.1998,6.12
05.1998,6.15
06.1998,6.18
07.1998,6.22
08.1998,6.75
09.1998,14.41
10.1998,15.91
11.1998,16.47
12.1998,19.99
01.1999,22.28
02.1999,22.91
03.1999,23.50
04.1999,24.73
05.1999,24.46
06.1999,24.29
07.1999,24.30
08.1999,24.71
09.1999,25.46
10.1999,25.73
11.1999,26.31
12.1999,26.79
01.2000,28.25
02.2000,28.72
03.2000,28.46
04.2000,28.60
05.2000,28.31
06.2000,28.24
07.2000,27.85
08.2000,27.74
09.2000,27.80
10.2000,27.87
11.2000,27.81
12.2000,27.98
01.2001,28.37
02.2001,28.59
03.2001,28.68
04.2001,28.85
05.2001,29.03
06.2001,29.11
07.2001,29.22
08.2001,29.34
09.2001,29.43
10.2001,29.54
11.2001,29.80
12.2001,30.10
01.2002,30.47
02.2002,30.81
03.2002,31.06
04.2002,31.17
05.2002,31.25
06.2002,31.40
07.2002,31.51
08.2002,31.55
09.2002,31.63
10.2002,31.69
11.2002,31.81
12.2002,31.84
01.2003,31.82
02.2003,31.70
03.2003,31.45
04.2003,31.21
05.2003,30.91
06.2003,30.47
07.2003,30.36
08.2003,30.35
09.2003,30.60
10.2003,30.16
11.2003,29.81
12.2003,29.43
01.2004,28.84
02.2004,28.51
03.2004,28.53
04.2004,28.69
05.2004,28.99
06.2004,29.03
07.2004,29.08
08.2004,29.22
09.2004,29.22
10.2004,29.07
11.2004,28.59
12.2004,27.90
01.2005,28.01
02.2005,28.00
03.2005,27.63
04.2005,27.81
05.2005,27.95
06.2005,28.50
07.2005,28.69
08.2005,28.48
09.2005,28.38
10.2005,28.56
11.2005,28.76
12.2005,28.80
01.2006,28.23
02.2006,28.19
03.2006,27.87
04.2006,27.56
05.2006,27.05
06.2006,26.98
07.2006,26.92
08.2006,26.76
09.2006,26.75
10.2006,26.87
11.2006,26.62
12.2006,26.29
01.2007,26.53
02.2007,26.34
03.2007,26.11
04.2007,25.84
05.2007,25.82
06.2007,25.91
07.2007,25.54
08.2007,25.62
09.2007,25.33
10.2007,24.90
11.2007,24.47
12.2007,24.57
01.2008,24.50
02.2008,24.53
03.2008,23.76
04.2008,23.51
05.2008,23.72
06.2008,23.64
07.2008,23.35
08.2008,24.15
09.2008,25.27
10.2008,26.36
11.2008,27.33
12.2008,28.15
01.2009,32.49
02.2009,35.81
03.2009,34.66
04.2009,33.58
05.2009,31.99
06.2009,31.06
07.2009,31.51
08.2009,31.65
09.2009,30.86
10.2009,29.46
11.2009,28.90
12.2009,29.96
01.2010,29.84
02.2010,30.16
03.2010,29.56
04.2010,29.19
05.2010,30.43
06.2010,31.17
07.2010,30.68
08.2010,30.35
09.2010,30.81
10.2010,30.32
11.2010,30.99
12.2010,30.86
01.2011,29.99
02.2011,29.32
03.2011,28.46
04.2011,28.08
05.2011,27.93
06.2011,27.99
07.2011,27.91
08.2011,28.75
09.2011,30.57
10.2011,31.39
11.2011,30.82
12.2011,31.49
01.2012,31.24
02.2012,29.89
03.2012,29.33
04.2012,29.49
05.2012,30.80
06.2012,32.88
07.2012,32.53
08.2012,31.96
09.2012,31.52
10.2012,31.12
11.2012,31.40
12.2012,30.74
01.2013,30.23
02.2013,30.16
03.2013,30.80
04.2013,31.35
05.2013,31.28
06.2013,31.80
07.2013,32.62
08.2013,33.16
09.2013,32.74
10.2013,32.27
11.2013,32.69
12.2013,32.87
01.2014,33.24
02.2014,35.26
03.2014,36.64
04.2014,35.99
05.2014,34.71
06.2014,34.57
07.2014,34.31
08.2014,36.04
09.2014,37.99
10.2014,40.53
11.2014,47.34
12.2014,58.35
01.2015,66.10
02.2015,65.09
03.2015,61.32
04.2015,51.97
05.2015,50.08
06.2015,55.27
07.2015,56.98
08.2015,65.42
09.2015,66.78
10.2015,63.25
11.2015,65.03
12.2015,69.70
01.2016,77.93
02.2016,77.33
03.2016,70.42
04.2016,66.68
05.2016,65.84
06.2016,65.22
07.2016,64.34
08.2016,64.94
09.2016,64.56
10.2016,62.62
11.2016,64.31
12.2016,62.09
01.2017,59.63
02.2017,58.54
03.2017,58.01
04.2017,56.44
05.2017,56.95
06.2017,57.89
07.2017,59.69
08.2017,59.61
09.2017,57.74
10.2017,57.69
11.2017,58.92
12.2017,58.57
